"","UNITID_P","INSTNM","BRANCH","Address","City","State","ZIP","sector_cd","Sector_desc","men_total","women_total","Total","MURD10","NEG_M10","FORCIB10","NONFOR10","ROBBE10","AGG_A10","BURGLA10","VEHIC10","ARSON10","MURD11","NEG_M11","FORCIB11","NONFOR11","ROBBE11","AGG_A11","BURGLA11","VEHIC11","ARSON11","MURD12","NEG_M12","FORCIB12","NONFOR12","ROBBE12","AGG_A12","BURGLA12","VEHIC12","ARSON12","FILTER10","FILTER11","FILTER12"
"10",100760003,"Central Alabama Community College","Talladega Campus","1009 South Street East","Talladega","AL","35160",4,"Public, 2-year",668,1353,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"11",100812001,"Athens State University","Athens State University Main Campus","300 N BEATY ST","ATHENS","AL","35611",1,"Public, 4-year or above",1191,2224,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
"12",100830001,"Auburn University at Montgomery","Auburn University Montgomery","7400 EAST DRIVE","MONTGOMERY","AL","361173596",1,"Public, 4-year or above",1930,3075,5005,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,1,1
"13",100858001,"Auburn University","Main Campus","107 Samford Hall","AUBURN UNIVERSITY","AL","36849",1,"Public, 4-year or above",12705,12429,25134,0,0,1,0,0,1,5,5,0,0,0,1,0,2,0,22,3,0,0,0,1,0,1,0,15,2,0,1,1,1
"14",100937001,"Birmingham Southern College","Birmingham-Southern College","900 Arkadelphia Road","Birmingham","AL","35254",2,"Private nonprofit, 4-year or above",655,576,1231,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,2,0,0,1,1,0,0,1,1,1
"15",101028001,"Chattahoochee Valley Community College","Main Campus","2602 COLLEGE DR","PHENIX CITY","AL","36869",4,"Public, 2-year",643,1087,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"16",101073001,"Concordia College Alabama","Main Campus","1712 Broad Street","SELMA","AL","36701",2,"Private nonprofit, 4-year or above",355,256,611,0,0,0,0,1,10,17,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,2,0,18,0,0,1,1,1
"17",101116001,"South University-Montgomery","South University - Montgomery","5355 Vaughn Road","MONTGOMERY","AL","361161120",3,"Private for-profit, 4-year or above",191,591,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"18",101143001,"Enterprise State Community College","Main Campus","600 PLAZA DR","ENTERPRISE","AL","363301300",4,"Public, 2-year",1481,1003,2484,0,0,0,0,0,0,2,0,0,1,0,1,1,11,5,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"19",101143002,"Enterprise State Community College","Alabama Aviation Center - Ozark","3405 Highway 231 South","Ozark","AL","36360",4,"Public, 2-year",1481,1003,2484,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"20",101143003,"Enterprise State Community College","Alabama Aviation Center - Mobile","1975 Avenue C","Mobile","AL","366151403",4,"Public, 2-year",1481,1003,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"21",101161001,"James H Faulkner State Community College","Main Campus","1900 US HWY 31 S","Bay Minette","AL","365072698",4,"Public, 2-year",1640,2760,4400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"22",101189001,"Faulkner University","Main Campus","5345 ATLANTA HWY","MONTGOMERY","AL","361093378",2,"Private nonprofit, 4-year or above",1276,2051,3327,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,2,0,1,1,1
"23",101189002,"Faulkner University","FAULKNER UNIVERSITY-BIRMINGHAM","2200 RIVERCHASE CENTER","BIRMINGHAM","AL","352444506",2,"Private nonprofit, 4-year or above",1276,2051,3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
"24",101189003,"Faulkner University","FAULKNER UNIVERSITY-HUNTSVILLE","420 WYNN DR","HUNTSVILLE","AL","358051963",2,"Private nonprofit, 4-year or above",1276,2051,3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
"25",101189004,"Faulkner University","FAULKNER UNIVERSITY-MOBILE","3943 Airport Boulevard","MOBILE","AL","366084112",2,"Private nonprofit, 4-year or above",1276,2051,3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"26",101240001,"Gadsden State Community College","Gadsden State Community College","PO Box 227","GADSDEN","AL","359020227",4,"Public, 2-year",2237,3645,5882,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,6,1,0,0,1,1,1
"27",101277001,"New Beginning College of Cosmetology","Main Campus","421 Martling Rd","Albertville","AL","35951",9,"Private for-profit, less-than 2-year",3,105,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1
"28",101286001,"George C Wallace State Community College-Dothan","Wallace Campus","1141 Wallace Drive","DOTHAN","AL","363039234",4,"Public, 2-year",1522,3059,4581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"29",101286004,"George C Wallace State Community College-Dothan","Sparks Campus","3235 South Eufaula Ave.","Eufaula","AL","36027",4,"Public, 2-year",1522,3059,4581,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"30",101295001,"George C Wallace State Community College-Hanceville","Main Campus","801 MAIN ST NW","HANCEVILLE","AL","350772000",4,"Public, 2-year",2017,3374,5391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,1,1,1
"31",101301001,"George C Wallace State Community College-Selma","Main Campus","3000 EARL GOODWIN PARKWAY","SELMA","AL","367032808",4,"Public, 2-year",595,1195,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"32",101365001,"Herzing University-Birmingham","Main Campus","280 WEST VALLEY AVENUE","BIRMINGHAM","AL","35209",3,"Private for-profit, 4-year or above",103,192,295,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"33",101435001,"Huntingdon College","Main Campus","1500 East Fairview Avenue","Montgomery","AL","361062148",2,"Private nonprofit, 4-year or above",562,556,1118,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,6,0,0,1,1,1
"34",101453001,"Heritage Christian University","Main Campus","3625 HELTON DR, PO Box HCU","FLORENCE","AL","35630",2,"Private nonprofit, 4-year or above",75,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"35",101462001,"J F Drake State Community and Technical College","Main Campus","3421 MERIDIAN ST N","HUNTSVILLE","AL","358111544",4,"Public, 2-year",553,695,1248,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"36",101480001,"Jacksonville State University","Main Campus","700 Pelham Road North","Jacksonville","AL","36265",1,"Public, 4-year or above",3748,5413,9161,0,0,1,0,1,0,19,0,0,0,0,2,0,1,0,17,1,1,0,0,2,0,0,0,14,1,3,1,1,1
"37",101499001,"Jefferson Davis Community College","Main Campus","220 ALCO DR","BREWTON","AL","36426",4,"Public, 2-year",489,605,1094,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,1
"38",101499002,"Jefferson Davis Community College","Atmore Campus","6574 Highway 21","Atmore","AL","36502",4,"Public, 2-year",489,605,1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"39",101505001,"Jefferson State Community College","Jefferson","2601 CARSON RD","BIRMINGHAM","AL","352153098",4,"Public, 2-year",3495,5383,8878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"40",101514001,"John C Calhoun State Community College","Main Campus","HWY 31 N","DECATUR","AL","356092216",4,"Public, 2-year",4843,6334,11177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1
"41",101541001,"Judson College","Main Campus","302 BIBB ST","MARION","AL","36756",2,"Private nonprofit, 4-year or above",10,347,357,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"42",101569001,"Lawson State Community College-Birmingham Campus","Lawson State Community College","3060 WILSON RD SW","BIRMINGHAM","AL","352211717",4,"Public, 2-year",1371,2048,3419,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,1,1,0,0,1,1,1
"43",101569002,"Lawson State Community College-Birmingham Campus","Bessemer Campus","1100 9th Ave","Bessemer","AL","35022",4,"Public, 2-year",1371,2048,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"44",101587001,"University of West Alabama","Main Campus","STATION ONE","LIVINGSTON","AL","35470",1,"Public, 4-year or above",1223,3720,4943,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"45",101602001,"Lurleen B Wallace Community College","Main Campus","1000 Dannelly Blvd.","ANDALUSIA","AL","364201418",4,"Public, 2-year",605,1041,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"46",101602002,"Lurleen B Wallace Community College","Lurleen B. Wallace Community College-MacArthur Cam","1708 N. Main Street","Opp","AL","36467",4,"Public, 2-year",605,1041,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"47",101602003,"Lurleen B Wallace Community College","Lurleen B. Wallace Community College-Greenville Ca","750 Greenville Bypass","Greenville","AL","36037",4,"Public, 2-year",605,1041,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"48",101648001,"Marion Military Institute","Main Campus","1101 Washington St.","Marion","AL","36756",4,"Public, 2-year",317,65,382,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"49",101675001,"Miles College","Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064",2,"Private nonprofit, 4-year or above",863,828,1691,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,1,3,1,0,0,1,1,1
"50",101693001,"University of Mobile","University of Mobile","5735 College Parkway","MOBILE","AL","366132842",2,"Private nonprofit, 4-year or above",517,1202,1719,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"51",101709001,"University of Montevallo","University of Montevallo","STATION 6001","MONTEVALLO","AL","35115",1,"Public, 4-year or above",1043,2040,3083,0,0,1,0,0,0,3,3,0,0,0,3,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,1,1,1
"52",101736001,"Northwest-Shoals Community College","Main Campus","800 GEORGE WALLACE BLVD","MUSCLE SHOALS","AL","35661",4,"Public, 2-year",1612,2105,3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"53",101736002,"Northwest-Shoals Community College","Phil Campbell Campus","2080 College Road","Phil Campbell","AL","35581",4,"Public, 2-year",1612,2105,3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"54",101879001,"University of North Alabama","Main Campus","1 Harrison Plaza- UNA Box 5067","FLORENCE","AL","356320001",1,"Public, 4-year or above",2941,4091,7032,0,0,1,0,1,0,7,1,0,0,0,1,0,0,0,6,0,0,0,0,1,0,2,0,11,1,0,1,1,1
"55",101879002,"University of North Alabama","East Campus","1640 tune av.","florence","AL","35630",1,"Public, 4-year or above",2941,4091,7032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"56",101897001,"Northeast Alabama Community College","Northeast Alabama Community College","P.O. Box 159  / 138 Alabama Hwy 35","Rainsville","AL","35986",4,"Public, 2-year",1215,1925,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"57",101912001,"Oakwood University","Oakwood University","7000 ADVENTIST BLVD NW","HUNTSVILLE","AL","358960003",2,"Private nonprofit, 4-year or above",870,1149,2019,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,21,7,0,1,1,1
"58",101949001,"Alabama Southern Community College","Main Campus","P.O. Box 2000","MONROEVILLE","AL","364612000",4,"Public, 2-year",502,810,1312,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"59",101949002,"Alabama Southern Community College","THOMASVILLE CAMPUS","30755 Hwy 43 South","Thomasville","AL","367842000",4,"Public, 2-year",502,810,1312,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"60",101949003,"Alabama Southern Community College","GILBERTOWN CAMPUS","251 College Street","Gilbertown","AL","36908",4,"Public, 2-year",502,810,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"61",101949004,"Alabama Southern Community College","JACKSON CAMPUS","235 College Avenue","Jackson","AL","36545",4,"Public, 2-year",502,810,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"62",101958001,"Prince Institute Southeast","Main Campus","7735 ATLANTA HWY","MONTGOMERY","AL","361174231",6,"Private for-profit, 2-year",5,117,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"63",101994001,"Reid State Technical College","Main Campus","I65 AND HWY 83","EVERGREEN","AL","36401",4,"Public, 2-year",198,297,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"64",102030001,"Bishop State Community College","Main Campus","351 NORTH BROAD STREET","MOBILE","AL","366035898",4,"Public, 2-year",1382,2409,3791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"65",102049001,"Samford University","Main Campus","800 Lakeshore Drive","Birmingham","AL","352292240",2,"Private nonprofit, 4-year or above",1849,2909,4758,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,1,0,1,1,1
"66",102058001,"Selma University","Selma University","1501 Lapsley St, Dinkins Hall","Selma","AL","36701",2,"Private nonprofit, 4-year or above",351,292,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"67",102067001,"Shelton State Community College","Martin Campus","9500 OLD GREENSBORO RD","TUSCALOOSA","AL","35405",4,"Public, 2-year",2178,2926,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"68",102067002,"Shelton State Community College","C. A. Fredd Campus","3401 MARTIN LUTHER KING BLVD","TUSCALOOSA","AL","354013541",4,"Public, 2-year",2178,2926,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"69",102076001,"Snead State Community College","Main Campus","P.O. Box 734","BOAZ","AL","359570734",4,"Public, 2-year",937,1499,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"70",102094001,"University of South Alabama","Main Campus","307 N UNIVERSITY BLVD","MOBILE","AL","366880002",1,"Public, 4-year or above",5781,8855,14636,0,0,6,0,3,6,58,6,10,1,0,4,0,6,1,33,10,0,0,0,5,0,2,7,22,2,0,1,1,1
"71",102094011,"University of South Alabama","USA Fairhope","10 N. Summit St.","Fairhope","AL","36532",1,"Public, 4-year or above",5781,8855,14636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"72",102234001,"Spring Hill College","Spring Hill College","4000 DAUPHIN ST","MOBILE","AL","366081791",2,"Private nonprofit, 4-year or above",513,795,1308,0,0,2,0,0,0,10,3,0,0,0,2,0,0,1,12,9,0,0,0,3,0,0,1,9,1,0,1,1,1
"73",102261001,"Southeastern Bible College","Main Campus","2545 Valleydale Road","BIRMINGHAM","AL","352442083",2,"Private nonprofit, 4-year or above",105,74,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"74",102270001,"Stillman College","Main Campus","3601 Stillman Boulevard","TUSCALOOSA","AL","35401",2,"Private nonprofit, 4-year or above",529,490,1019,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,7,0,0,1,1,1
"75",102298001,"Talladega College","Talladega College Main Campus","627 W BATTLE ST","TALLADEGA","AL","35160",2,"Private nonprofit, 4-year or above",535,668,1203,0,0,1,0,0,0,14,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,1,1,1
"76",102313001,"H Councill Trenholm State Technical College","Main Campus - Trenholm Campus","P.O. Box 10048","MONTGOMERY","AL","361083199",4,"Public, 2-year",682,763,1445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"77",102368001,"Troy University","Troy Campus","University Avenue","TROY","AL","360820001",1,"Public, 4-year or above",8156,14398,22554,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,8,2,0,0,0,1,0,1,0,12,0,0,1,1,1
"78",102368002,"Troy University","Phenix City Campus","1 University Place","Phenix City","AL","36869",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"79",102368003,"Troy University","Montgomery Campus","231 Montgomery Street","Montgomery","AL","361034419",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"80",102368004,"Troy University","Dothan Campus","501 University Drive","Dothan","AL","363040368",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"81",102368005,"Troy University","Atlantic Region","5425 Robin Hood Road, Suite B1","Norfolk","VA","23513",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"82",102368006,"Troy University","Florida Region","81 Beal Parkway, S. E.","Ft Walton Beach","FL","32548",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"83",102368007,"Troy University","Southeast Region","506 Manchester Expressway, St. B20","Columbus","GA","31914",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"84",102368008,"Troy University","Western Region","5825 Delmonico Drive, Suite 120","Colorado Springs","CO","80919",1,"Public, 4-year or above",8156,14398,22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"85",102377001,"Tuskegee University","TUSKEGEE UNIVERSITY","Kresge Center, 3rd Floor RM 310","Tuskegee UNIVERSITY","AL","360881920",2,"Private nonprofit, 4-year or above",1281,1836,3117,0,0,0,0,0,0,43,3,0,0,0,1,0,2,1,22,4,0,0,0,4,0,3,8,28,4,0,1,1,1
"86",102395001,"United States Sports Academy","Main Campus","ONE ACADEMY DR","DAPHNE","AL","365267055",2,"Private nonprofit, 4-year or above",285,116,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"87",102429001,"Bevill State Community College","Main Campus","100 STATE ST","SUMITON","AL","35148",4,"Public, 2-year",1335,2399,3734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"88",102553001,"University of Alaska Anchorage","Anchorage Campus","3211 PROVIDENCE DR","ANCHORAGE","AK","99508",1,"Public, 4-year or above",7268,10229,17497,0,0,1,0,0,1,2,0,0,0,0,4,0,1,2,1,1,0,0,0,3,0,0,3,1,0,0,1,1,1
"89",102553002,"University of Alaska Anchorage","Matanuska-Susitna College","8274 E. College Road","Palmer","AK","99645",1,"Public, 4-year or above",7268,10229,17497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"90",102553003,"University of Alaska Anchorage","Kenai Peninsula College - Kenai River Campus","156 College Road","Soldotna","AK","99669",1,"Public, 4-year or above",7268,10229,17497,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"91",102553004,"University of Alaska Anchorage","Kenai Peninsula College - Kachemak Bay Campus","533 E. Pioneer Avenue","Homer","AK","996037624",1,"Public, 4-year or above",7268,10229,17497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"92",102553005,"University of Alaska Anchorage","Kodiak College","117 Benny Benson Drive","Kodiak","AK","99615",1,"Public, 4-year or above",7268,10229,17497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"93",102553006,"University of Alaska Anchorage","Chugiak-Eagle River Campus","10928 Eagle River Road, Ste. 115","Eagle River","AK","99577",1,"Public, 4-year or above",7268,10229,17497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1
"94",102580001,"Alaska Bible College","Main Campus","248 E. Elmwood Ave.","Palmer","AK","99645",2,"Private nonprofit, 4-year or above",27,31,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"95",102614001,"University of Alaska Fairbanks","University of Alaska Fairbanks","P.O. Box 757480","FAIRBANKS","AK","997757480",1,"Public, 4-year or above",3879,5344,9223,0,0,5,0,0,0,3,0,0,0,0,17,2,0,2,2,1,0,0,0,4,0,0,1,9,0,0,1,1,1
"96",102614002,"University of Alaska Fairbanks","Kuskokwim rural campus","201 Akiak Drive","Bethel","AK","995590368",1,"Public, 4-year or above",3879,5344,9223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"97",102614003,"University of Alaska Fairbanks","Northwest rural campus","Pouch 400","Nome","AK","99762",1,"Public, 4-year or above",3879,5344,9223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"98",102614004,"University of Alaska Fairbanks","Bristol Bay rural campus","Box 1070","Dillingham","AK","99576",1,"Public, 4-year or above",3879,5344,9223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
